@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[0] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[271] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[1] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[270] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[2] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[269] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[3] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[268] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[4] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[267] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[5] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[266] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[6] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[265] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[7] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[264] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[8] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[263] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: MO111 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\algorithmic_logic_unit\algorithmic_logic_unit.vhd":99:4:99:5|Tristate driver combine_numbers\.io_cpu_regs_16_3[9] (in view: work.algorithmic_logic_unit(rtl)) on net io_cpu_regs[262] (in view: work.algorithmic_logic_unit(rtl)) has its enable tied to GND.
@N: BN362 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\fifo\fifo.vhd":28:4:28:5|Removing sequential instance r_head[1:0] (in view: work.fifo(rtl)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\uart_usb\gen_uart_recv.vhd":58:4:58:5|Removing sequential instance o_new (in view: work.uart_recvr(rtl)) of type view:PrimLib.sdffre(prim) because it does not drive other instances.
@N: BN362 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\interpreter\interpreter.vhd":53:4:53:5|Removing sequential instance o_jmp_out\.jmp_reg[3:0] (in view: work.interpreter(rtl)) of type view:PrimLib.dffe(prim) because it does not drive other instances.
@N: BN362 :"c:\users\ed\documents\goboardprojects\prj_x_gocpu\interpreter\interpreter.vhd":53:4:53:5|Removing sequential instance o_hw_cmds\.reg_sel[3:0] (in view: work.interpreter(rtl)) of type view:PrimLib.dffe(prim) because it does not drive other instances.
